gene1	gene2	correlation	p.adjusted
chloramphenicol__cmlA5	qrg	0.713392298	4.59E-09
eefX	quinolone__QnrB12	0.713392298	4.59E-09
farR	quinolone__QnrB12	0.713392298	4.59E-09
mtrC	quinolone__QnrB12	0.713392298	4.59E-09
nirD	quinolone__QnrB12	0.713392298	4.59E-09
nmtR	quinolone__QnrB12	0.713392298	4.59E-09
cnrY	quinolone__QnrB19	0.713392298	4.59E-09
hmrM	quinolone__QnrB19	0.713392298	4.59E-09
merH	quinolone__QnrB19	0.713392298	4.59E-09
mmR	quinolone__QnrB19	0.713392298	4.59E-09
mymT	quinolone__QnrB19	0.713392298	4.59E-09
qrg	quinolone__QnrB19	0.713392298	4.59E-09
eefX	quinolone__QnrB3	0.713392298	4.59E-09
farR	quinolone__QnrB3	0.713392298	4.59E-09
mtrC	quinolone__QnrB3	0.713392298	4.59E-09
nirD	quinolone__QnrB3	0.713392298	4.59E-09
nmtR	quinolone__QnrB3	0.713392298	4.59E-09
cnrY	quinolone__QnrB5	0.713392298	4.59E-09
hmrM	quinolone__QnrB5	0.713392298	4.59E-09
merH	quinolone__QnrB5	0.713392298	4.59E-09
mmR	quinolone__QnrB5	0.713392298	4.59E-09
mymT	quinolone__QnrB5	0.713392298	4.59E-09
qrg	quinolone__QnrB5	0.713392298	4.59E-09
eefX	quinolone__QnrB54	0.713392298	4.59E-09
farR	quinolone__QnrB54	0.713392298	4.59E-09
mtrC	quinolone__QnrB54	0.713392298	4.59E-09
nirD	quinolone__QnrB54	0.713392298	4.59E-09
nmtR	quinolone__QnrB54	0.713392298	4.59E-09
eefX	quinolone__QnrB56	0.713392298	4.59E-09
farR	quinolone__QnrB56	0.713392298	4.59E-09
mtrC	quinolone__QnrB56	0.713392298	4.59E-09
nirD	quinolone__QnrB56	0.713392298	4.59E-09
nmtR	quinolone__QnrB56	0.713392298	4.59E-09
eefX	quinolone__QnrB59	0.713392298	4.59E-09
farR	quinolone__QnrB59	0.713392298	4.59E-09
mtrC	quinolone__QnrB59	0.713392298	4.59E-09
nirD	quinolone__QnrB59	0.713392298	4.59E-09
nmtR	quinolone__QnrB59	0.713392298	4.59E-09
eefX	quinolone__QnrB74	0.713392298	4.59E-09
farR	quinolone__QnrB74	0.713392298	4.59E-09
mtrC	quinolone__QnrB74	0.713392298	4.59E-09
nirD	quinolone__QnrB74	0.713392298	4.59E-09
nmtR	quinolone__QnrB74	0.713392298	4.59E-09
eefX	quinolone__QnrS11	0.713392298	4.59E-09
farR	quinolone__QnrS11	0.713392298	4.59E-09
mtrC	quinolone__QnrS11	0.713392298	4.59E-09
nirD	quinolone__QnrS11	0.713392298	4.59E-09
nmtR	quinolone__QnrS11	0.713392298	4.59E-09
eefX	quinolone__QnrS15	0.713392298	4.59E-09
farR	quinolone__QnrS15	0.713392298	4.59E-09
mtrC	quinolone__QnrS15	0.713392298	4.59E-09
nirD	quinolone__QnrS15	0.713392298	4.59E-09
nmtR	quinolone__QnrS15	0.713392298	4.59E-09
cnrY	quinolone__QnrS2	0.713392298	4.59E-09
hmrM	quinolone__QnrS2	0.713392298	4.59E-09
merH	quinolone__QnrS2	0.713392298	4.59E-09
mmR	quinolone__QnrS2	0.713392298	4.59E-09
mymT	quinolone__QnrS2	0.713392298	4.59E-09
qrg	quinolone__QnrS2	0.713392298	4.59E-09
eefX	quinolone__QnrS5	0.713392298	4.59E-09
farR	quinolone__QnrS5	0.713392298	4.59E-09
mtrC	quinolone__QnrS5	0.713392298	4.59E-09
nirD	quinolone__QnrS5	0.713392298	4.59E-09
nmtR	quinolone__QnrS5	0.713392298	4.59E-09
eefX	quinolone__QnrS6	0.713392298	4.59E-09
farR	quinolone__QnrS6	0.713392298	4.59E-09
mtrC	quinolone__QnrS6	0.713392298	4.59E-09
nirD	quinolone__QnrS6	0.713392298	4.59E-09
nmtR	quinolone__QnrS6	0.713392298	4.59E-09
eefX	quinolone__QnrS8	0.713392298	4.59E-09
farR	quinolone__QnrS8	0.713392298	4.59E-09
mtrC	quinolone__QnrS8	0.713392298	4.59E-09
nirD	quinolone__QnrS8	0.713392298	4.59E-09
nmtR	quinolone__QnrS8	0.713392298	4.59E-09
eefX	quinolone__QnrS9	0.713392298	4.59E-09
farR	quinolone__QnrS9	0.713392298	4.59E-09
mtrC	quinolone__QnrS9	0.713392298	4.59E-09
nirD	quinolone__QnrS9	0.713392298	4.59E-09
nmtR	quinolone__QnrS9	0.713392298	4.59E-09
eefX	quinolone__QnrVC3	0.713392298	4.59E-09
farR	quinolone__QnrVC3	0.713392298	4.59E-09
mtrC	quinolone__QnrVC3	0.713392298	4.59E-09
nirD	quinolone__QnrVC3	0.713392298	4.59E-09
nmtR	quinolone__QnrVC3	0.713392298	4.59E-09
aminoglycoside__aadA4	sdeA	0.713392298	4.59E-09
aminoglycoside__aadA8b	sdeA	0.713392298	4.59E-09
beta_lactam__blaC	sdeA	0.713392298	4.59E-09
beta_lactam__blaS1	sdeA	0.713392298	4.59E-09
beta_lactam__cphA7	sdeA	0.713392298	4.59E-09
chloramphenicol__catQ	sdeA	0.713392298	4.59E-09
chloramphenicol__cmlA4	sdeA	0.713392298	4.59E-09
chloramphenicol__cmlA5	sdeA	0.713392298	4.59E-09
quinolone__QnrB19	sdeA	0.713392298	4.59E-09
quinolone__QnrB5	sdeA	0.713392298	4.59E-09
quinolone__QnrS2	sdeA	0.713392298	4.59E-09
aminoglycoside__aacA43	silF	0.713392298	4.59E-09
aminoglycoside__aadA11	silF	0.713392298	4.59E-09
aminoglycoside__aadA2	silF	0.713392298	4.59E-09
aminoglycoside__aadA25	silF	0.713392298	4.59E-09
aminoglycoside__aadA3	silF	0.713392298	4.59E-09
aminoglycoside__aadA8	silF	0.713392298	4.59E-09
aminoglycoside__aphA15	silF	0.713392298	4.59E-09
beta_lactam__CfxA2	silF	0.713392298	4.59E-09
beta_lactam__CfxA3	silF	0.713392298	4.59E-09
beta_lactam__CfxA5	silF	0.713392298	4.59E-09
beta_lactam__CfxA6	silF	0.713392298	4.59E-09
beta_lactam__cepA	silF	0.713392298	4.59E-09
beta_lactam__cphA5	silF	0.713392298	4.59E-09
beta_lactam__cphA8	silF	0.713392298	4.59E-09
beta_lactam__imiH	silF	0.713392298	4.59E-09
beta_lactam__mreA	silF	0.713392298	4.59E-09
chloramphenicol__catS	silF	0.713392298	4.59E-09
chloramphenicol__cmlA1	silF	0.713392298	4.59E-09
chloramphenicol__cmlA6	silF	0.713392298	4.59E-09
chloramphenicol__cmlB	silF	0.713392298	4.59E-09
chloramphenicol__pexA	silF	0.713392298	4.59E-09
fosfomycin__FosA2	silF	0.713392298	4.59E-09
multidrug__hmrM	silF	0.713392298	4.59E-09
multidrug__hp1181	silF	0.713392298	4.59E-09
multidrug__mefJ	silF	0.713392298	4.59E-09
quinolone__QnrB12	silF	0.713392298	4.59E-09
quinolone__QnrB3	silF	0.713392298	4.59E-09
quinolone__QnrB54	silF	0.713392298	4.59E-09
quinolone__QnrB56	silF	0.713392298	4.59E-09
quinolone__QnrB59	silF	0.713392298	4.59E-09
quinolone__QnrB74	silF	0.713392298	4.59E-09
quinolone__QnrS11	silF	0.713392298	4.59E-09
quinolone__QnrS15	silF	0.713392298	4.59E-09
quinolone__QnrS5	silF	0.713392298	4.59E-09
quinolone__QnrS6	silF	0.713392298	4.59E-09
quinolone__QnrS8	silF	0.713392298	4.59E-09
quinolone__QnrS9	silF	0.713392298	4.59E-09
quinolone__QnrVC3	silF	0.713392298	4.59E-09
chloramphenicol__catIII	tbtR	0.713392298	4.59E-09
aminoglycoside__aadA4	tcrY	0.713392298	4.59E-09
aminoglycoside__aadA8b	tcrY	0.713392298	4.59E-09
beta_lactam__blaC	tcrY	0.713392298	4.59E-09
beta_lactam__blaS1	tcrY	0.713392298	4.59E-09
beta_lactam__cphA7	tcrY	0.713392298	4.59E-09
chloramphenicol__catQ	tcrY	0.713392298	4.59E-09
chloramphenicol__cmlA4	tcrY	0.713392298	4.59E-09
chloramphenicol__cmlA5	tcrY	0.713392298	4.59E-09
quinolone__QnrB19	tcrY	0.713392298	4.59E-09
quinolone__QnrB5	tcrY	0.713392298	4.59E-09
quinolone__QnrS2	tcrY	0.713392298	4.59E-09
aminoglycoside__aadA4	tcrZ	0.713392298	4.59E-09
aminoglycoside__aadA8b	tcrZ	0.713392298	4.59E-09
beta_lactam__blaC	tcrZ	0.713392298	4.59E-09
beta_lactam__blaS1	tcrZ	0.713392298	4.59E-09
beta_lactam__cphA7	tcrZ	0.713392298	4.59E-09
chloramphenicol__catQ	tcrZ	0.713392298	4.59E-09
chloramphenicol__cmlA4	tcrZ	0.713392298	4.59E-09
chloramphenicol__cmlA5	tcrZ	0.713392298	4.59E-09
quinolone__QnrB19	tcrZ	0.713392298	4.59E-09
quinolone__QnrB5	tcrZ	0.713392298	4.59E-09
quinolone__QnrS2	tcrZ	0.713392298	4.59E-09
chloramphenicol__catIII	triA	0.713392298	4.59E-09
eefX	trimethoprim__DfrA39	0.713392298	4.59E-09
farR	trimethoprim__DfrA39	0.713392298	4.59E-09
mtrC	trimethoprim__DfrA39	0.713392298	4.59E-09
nirD	trimethoprim__DfrA39	0.713392298	4.59E-09
nmtR	trimethoprim__DfrA39	0.713392298	4.59E-09
silF	trimethoprim__DfrA39	0.713392298	4.59E-09
eefX	trimethoprim__dfrA10	0.713392298	4.59E-09
farR	trimethoprim__dfrA10	0.713392298	4.59E-09
mtrC	trimethoprim__dfrA10	0.713392298	4.59E-09
nirD	trimethoprim__dfrA10	0.713392298	4.59E-09
nmtR	trimethoprim__dfrA10	0.713392298	4.59E-09
silF	trimethoprim__dfrA10	0.713392298	4.59E-09
eefX	trimethoprim__dfrA13	0.713392298	4.59E-09
farR	trimethoprim__dfrA13	0.713392298	4.59E-09
mtrC	trimethoprim__dfrA13	0.713392298	4.59E-09
nirD	trimethoprim__dfrA13	0.713392298	4.59E-09
nmtR	trimethoprim__dfrA13	0.713392298	4.59E-09
silF	trimethoprim__dfrA13	0.713392298	4.59E-09
cnrY	trimethoprim__dfrA18	0.713392298	4.59E-09
hmrM	trimethoprim__dfrA18	0.713392298	4.59E-09
merH	trimethoprim__dfrA18	0.713392298	4.59E-09
mmR	trimethoprim__dfrA18	0.713392298	4.59E-09
mymT	trimethoprim__dfrA18	0.713392298	4.59E-09
qrg	trimethoprim__dfrA18	0.713392298	4.59E-09
sdeA	trimethoprim__dfrA18	0.713392298	4.59E-09
tcrY	trimethoprim__dfrA18	0.713392298	4.59E-09
tcrZ	trimethoprim__dfrA18	0.713392298	4.59E-09
chrI	trimethoprim__dfrA19	0.713392298	4.59E-09
copV	trimethoprim__dfrA19	0.713392298	4.59E-09
hpcopA	trimethoprim__dfrA19	0.713392298	4.59E-09
nccH	trimethoprim__dfrA19	0.713392298	4.59E-09
nccY	trimethoprim__dfrA19	0.713392298	4.59E-09
eefX	trimethoprim__dfrA20	0.713392298	4.59E-09
farR	trimethoprim__dfrA20	0.713392298	4.59E-09
mtrC	trimethoprim__dfrA20	0.713392298	4.59E-09
nirD	trimethoprim__dfrA20	0.713392298	4.59E-09
nmtR	trimethoprim__dfrA20	0.713392298	4.59E-09
silF	trimethoprim__dfrA20	0.713392298	4.59E-09
eefX	trimethoprim__dfrA21	0.713392298	4.59E-09
farR	trimethoprim__dfrA21	0.713392298	4.59E-09
mtrC	trimethoprim__dfrA21	0.713392298	4.59E-09
nirD	trimethoprim__dfrA21	0.713392298	4.59E-09
nmtR	trimethoprim__dfrA21	0.713392298	4.59E-09
silF	trimethoprim__dfrA21	0.713392298	4.59E-09
eefX	trimethoprim__dfrA23	0.713392298	4.59E-09
farR	trimethoprim__dfrA23	0.713392298	4.59E-09
mtrC	trimethoprim__dfrA23	0.713392298	4.59E-09
nirD	trimethoprim__dfrA23	0.713392298	4.59E-09
nmtR	trimethoprim__dfrA23	0.713392298	4.59E-09
silF	trimethoprim__dfrA23	0.713392298	4.59E-09
eefX	trimethoprim__dfrA32	0.713392298	4.59E-09
farR	trimethoprim__dfrA32	0.713392298	4.59E-09
mtrC	trimethoprim__dfrA32	0.713392298	4.59E-09
nirD	trimethoprim__dfrA32	0.713392298	4.59E-09
nmtR	trimethoprim__dfrA32	0.713392298	4.59E-09
silF	trimethoprim__dfrA32	0.713392298	4.59E-09
cnrY	trimethoprim__dfrA35	0.713392298	4.59E-09
hmrM	trimethoprim__dfrA35	0.713392298	4.59E-09
merH	trimethoprim__dfrA35	0.713392298	4.59E-09
mmR	trimethoprim__dfrA35	0.713392298	4.59E-09
mymT	trimethoprim__dfrA35	0.713392298	4.59E-09
qrg	trimethoprim__dfrA35	0.713392298	4.59E-09
sdeA	trimethoprim__dfrA35	0.713392298	4.59E-09
tcrY	trimethoprim__dfrA35	0.713392298	4.59E-09
tcrZ	trimethoprim__dfrA35	0.713392298	4.59E-09
cnrY	trimethoprim__dfrA5	0.713392298	4.59E-09
hmrM	trimethoprim__dfrA5	0.713392298	4.59E-09
merH	trimethoprim__dfrA5	0.713392298	4.59E-09
mmR	trimethoprim__dfrA5	0.713392298	4.59E-09
mymT	trimethoprim__dfrA5	0.713392298	4.59E-09
qrg	trimethoprim__dfrA5	0.713392298	4.59E-09
sdeA	trimethoprim__dfrA5	0.713392298	4.59E-09
tcrY	trimethoprim__dfrA5	0.713392298	4.59E-09
tcrZ	trimethoprim__dfrA5	0.713392298	4.59E-09
eefX	trimethoprim__dfrA9	0.713392298	4.59E-09
farR	trimethoprim__dfrA9	0.713392298	4.59E-09
mtrC	trimethoprim__dfrA9	0.713392298	4.59E-09
nirD	trimethoprim__dfrA9	0.713392298	4.59E-09
nmtR	trimethoprim__dfrA9	0.713392298	4.59E-09
silF	trimethoprim__dfrA9	0.713392298	4.59E-09
eefX	trimethoprim__dfrB1	0.713392298	4.59E-09
farR	trimethoprim__dfrB1	0.713392298	4.59E-09
mtrC	trimethoprim__dfrB1	0.713392298	4.59E-09
nirD	trimethoprim__dfrB1	0.713392298	4.59E-09
nmtR	trimethoprim__dfrB1	0.713392298	4.59E-09
silF	trimethoprim__dfrB1	0.713392298	4.59E-09
chrI	trimethoprim__dfrB5	0.713392298	4.59E-09
copV	trimethoprim__dfrB5	0.713392298	4.59E-09
hpcopA	trimethoprim__dfrB5	0.713392298	4.59E-09
nccH	trimethoprim__dfrB5	0.713392298	4.59E-09
nccY	trimethoprim__dfrB5	0.713392298	4.59E-09
chrI	trimethoprim__dfrB7	0.713392298	4.59E-09
copV	trimethoprim__dfrB7	0.713392298	4.59E-09
hpcopA	trimethoprim__dfrB7	0.713392298	4.59E-09
nccH	trimethoprim__dfrB7	0.713392298	4.59E-09
nccY	trimethoprim__dfrB7	0.713392298	4.59E-09
eefX	trimethoprim__dfrF	0.713392298	4.59E-09
farR	trimethoprim__dfrF	0.713392298	4.59E-09
mtrC	trimethoprim__dfrF	0.713392298	4.59E-09
nirD	trimethoprim__dfrF	0.713392298	4.59E-09
nmtR	trimethoprim__dfrF	0.713392298	4.59E-09
silF	trimethoprim__dfrF	0.713392298	4.59E-09
cadD	trimethoprim__dfrG	0.713392298	4.59E-09
merB3	trimethoprim__dfrG	0.713392298	4.59E-09
norB	trimethoprim__dfrG	0.713392298	4.59E-09
aminoglycoside__aacA43	troD	0.713392298	4.59E-09
aminoglycoside__aadA11	troD	0.713392298	4.59E-09
aminoglycoside__aadA2	troD	0.713392298	4.59E-09
aminoglycoside__aadA25	troD	0.713392298	4.59E-09
aminoglycoside__aadA3	troD	0.713392298	4.59E-09
aminoglycoside__aadA8	troD	0.713392298	4.59E-09
aminoglycoside__aphA15	troD	0.713392298	4.59E-09
beta_lactam__CfxA2	troD	0.713392298	4.59E-09
beta_lactam__CfxA3	troD	0.713392298	4.59E-09
beta_lactam__CfxA5	troD	0.713392298	4.59E-09
beta_lactam__CfxA6	troD	0.713392298	4.59E-09
beta_lactam__cepA	troD	0.713392298	4.59E-09
beta_lactam__cphA5	troD	0.713392298	4.59E-09
beta_lactam__cphA8	troD	0.713392298	4.59E-09
beta_lactam__imiH	troD	0.713392298	4.59E-09
beta_lactam__mreA	troD	0.713392298	4.59E-09
chloramphenicol__catS	troD	0.713392298	4.59E-09
chloramphenicol__cmlA1	troD	0.713392298	4.59E-09
chloramphenicol__cmlA6	troD	0.713392298	4.59E-09
chloramphenicol__cmlB	troD	0.713392298	4.59E-09
chloramphenicol__pexA	troD	0.713392298	4.59E-09
fosfomycin__FosA2	troD	0.713392298	4.59E-09
multidrug__hmrM	troD	0.713392298	4.59E-09
multidrug__hp1181	troD	0.713392298	4.59E-09
multidrug__mefJ	troD	0.713392298	4.59E-09
quinolone__QnrB12	troD	0.713392298	4.59E-09
quinolone__QnrB3	troD	0.713392298	4.59E-09
quinolone__QnrB54	troD	0.713392298	4.59E-09
quinolone__QnrB56	troD	0.713392298	4.59E-09
quinolone__QnrB59	troD	0.713392298	4.59E-09
quinolone__QnrB74	troD	0.713392298	4.59E-09
quinolone__QnrS11	troD	0.713392298	4.59E-09
quinolone__QnrS15	troD	0.713392298	4.59E-09
quinolone__QnrS5	troD	0.713392298	4.59E-09
quinolone__QnrS6	troD	0.713392298	4.59E-09
quinolone__QnrS8	troD	0.713392298	4.59E-09
quinolone__QnrS9	troD	0.713392298	4.59E-09
quinolone__QnrVC3	troD	0.713392298	4.59E-09
trimethoprim__DfrA39	troD	0.713392298	4.59E-09
trimethoprim__dfrA10	troD	0.713392298	4.59E-09
trimethoprim__dfrA13	troD	0.713392298	4.59E-09
trimethoprim__dfrA20	troD	0.713392298	4.59E-09
trimethoprim__dfrA21	troD	0.713392298	4.59E-09
trimethoprim__dfrA23	troD	0.713392298	4.59E-09
trimethoprim__dfrA32	troD	0.713392298	4.59E-09
trimethoprim__dfrA9	troD	0.713392298	4.59E-09
trimethoprim__dfrB1	troD	0.713392298	4.59E-09
trimethoprim__dfrF	troD	0.713392298	4.59E-09
chloramphenicol__catIII	ttgT	0.713392298	4.59E-09
aminoglycoside__aadA4	ttgV	0.713392298	4.59E-09
aminoglycoside__aadA8b	ttgV	0.713392298	4.59E-09
beta_lactam__blaC	ttgV	0.713392298	4.59E-09
beta_lactam__blaS1	ttgV	0.713392298	4.59E-09
beta_lactam__cphA7	ttgV	0.713392298	4.59E-09
chloramphenicol__catQ	ttgV	0.713392298	4.59E-09
chloramphenicol__cmlA4	ttgV	0.713392298	4.59E-09
chloramphenicol__cmlA5	ttgV	0.713392298	4.59E-09
quinolone__QnrB19	ttgV	0.713392298	4.59E-09
quinolone__QnrB5	ttgV	0.713392298	4.59E-09
quinolone__QnrS2	ttgV	0.713392298	4.59E-09
trimethoprim__dfrA18	ttgV	0.713392298	4.59E-09
trimethoprim__dfrA35	ttgV	0.713392298	4.59E-09
trimethoprim__dfrA5	ttgV	0.713392298	4.59E-09
cnrY	vancomycin__vanE	0.713392298	4.59E-09
hmrM	vancomycin__vanE	0.713392298	4.59E-09
merH	vancomycin__vanE	0.713392298	4.59E-09
mmR	vancomycin__vanE	0.713392298	4.59E-09
mymT	vancomycin__vanE	0.713392298	4.59E-09
qrg	vancomycin__vanE	0.713392298	4.59E-09
sdeA	vancomycin__vanE	0.713392298	4.59E-09
tcrY	vancomycin__vanE	0.713392298	4.59E-09
tcrZ	vancomycin__vanE	0.713392298	4.59E-09
ttgV	vancomycin__vanE	0.713392298	4.59E-09
eefX	vancomycin__vanHD	0.713392298	4.59E-09
farR	vancomycin__vanHD	0.713392298	4.59E-09
mtrC	vancomycin__vanHD	0.713392298	4.59E-09
nirD	vancomycin__vanHD	0.713392298	4.59E-09
nmtR	vancomycin__vanHD	0.713392298	4.59E-09
silF	vancomycin__vanHD	0.713392298	4.59E-09
troD	vancomycin__vanHD	0.713392298	4.59E-09
eefX	vancomycin__vanHM	0.713392298	4.59E-09
farR	vancomycin__vanHM	0.713392298	4.59E-09
mtrC	vancomycin__vanHM	0.713392298	4.59E-09
nirD	vancomycin__vanHM	0.713392298	4.59E-09
nmtR	vancomycin__vanHM	0.713392298	4.59E-09
silF	vancomycin__vanHM	0.713392298	4.59E-09
troD	vancomycin__vanHM	0.713392298	4.59E-09
cnrY	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
hmrM	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
merH	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
mmR	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
mymT	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
qrg	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
sdeA	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
tcrY	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
tcrZ	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
ttgV	vancomycin__vanH_in_vanP_cl	0.713392298	4.59E-09
eefX	vancomycin__vanL	0.713392298	4.59E-09
farR	vancomycin__vanL	0.713392298	4.59E-09
mtrC	vancomycin__vanL	0.713392298	4.59E-09
nirD	vancomycin__vanL	0.713392298	4.59E-09
nmtR	vancomycin__vanL	0.713392298	4.59E-09
silF	vancomycin__vanL	0.713392298	4.59E-09
troD	vancomycin__vanL	0.713392298	4.59E-09
eefX	vancomycin__vanUG	0.713392298	4.59E-09
farR	vancomycin__vanUG	0.713392298	4.59E-09
mtrC	vancomycin__vanUG	0.713392298	4.59E-09
nirD	vancomycin__vanUG	0.713392298	4.59E-09
nmtR	vancomycin__vanUG	0.713392298	4.59E-09
silF	vancomycin__vanUG	0.713392298	4.59E-09
troD	vancomycin__vanUG	0.713392298	4.59E-09
eefX	vancomycin__vanYG1	0.713392298	4.59E-09
farR	vancomycin__vanYG1	0.713392298	4.59E-09
mtrC	vancomycin__vanYG1	0.713392298	4.59E-09
nirD	vancomycin__vanYG1	0.713392298	4.59E-09
nmtR	vancomycin__vanYG1	0.713392298	4.59E-09
silF	vancomycin__vanYG1	0.713392298	4.59E-09
troD	vancomycin__vanYG1	0.713392298	4.59E-09
eefX	vancomycin__vanZA	0.713392298	4.59E-09
farR	vancomycin__vanZA	0.713392298	4.59E-09
mtrC	vancomycin__vanZA	0.713392298	4.59E-09
nirD	vancomycin__vanZA	0.713392298	4.59E-09
nmtR	vancomycin__vanZA	0.713392298	4.59E-09
silF	vancomycin__vanZA	0.713392298	4.59E-09
troD	vancomycin__vanZA	0.713392298	4.59E-09
aminoglycoside__aacA43	vceC	0.713392298	4.59E-09
aminoglycoside__aadA11	vceC	0.713392298	4.59E-09
aminoglycoside__aadA2	vceC	0.713392298	4.59E-09
aminoglycoside__aadA25	vceC	0.713392298	4.59E-09
aminoglycoside__aadA3	vceC	0.713392298	4.59E-09
aminoglycoside__aadA8	vceC	0.713392298	4.59E-09
aminoglycoside__aphA15	vceC	0.713392298	4.59E-09
beta_lactam__CfxA2	vceC	0.713392298	4.59E-09
beta_lactam__CfxA3	vceC	0.713392298	4.59E-09
beta_lactam__CfxA5	vceC	0.713392298	4.59E-09
beta_lactam__CfxA6	vceC	0.713392298	4.59E-09
beta_lactam__cepA	vceC	0.713392298	4.59E-09
beta_lactam__cphA5	vceC	0.713392298	4.59E-09
beta_lactam__cphA8	vceC	0.713392298	4.59E-09
beta_lactam__imiH	vceC	0.713392298	4.59E-09
beta_lactam__mreA	vceC	0.713392298	4.59E-09
chloramphenicol__catS	vceC	0.713392298	4.59E-09
chloramphenicol__cmlA1	vceC	0.713392298	4.59E-09
chloramphenicol__cmlA6	vceC	0.713392298	4.59E-09
chloramphenicol__cmlB	vceC	0.713392298	4.59E-09
chloramphenicol__pexA	vceC	0.713392298	4.59E-09
fosfomycin__FosA2	vceC	0.713392298	4.59E-09
multidrug__hmrM	vceC	0.713392298	4.59E-09
multidrug__hp1181	vceC	0.713392298	4.59E-09
multidrug__mefJ	vceC	0.713392298	4.59E-09
quinolone__QnrB12	vceC	0.713392298	4.59E-09
quinolone__QnrB3	vceC	0.713392298	4.59E-09
quinolone__QnrB54	vceC	0.713392298	4.59E-09
quinolone__QnrB56	vceC	0.713392298	4.59E-09
quinolone__QnrB59	vceC	0.713392298	4.59E-09
quinolone__QnrB74	vceC	0.713392298	4.59E-09
quinolone__QnrS11	vceC	0.713392298	4.59E-09
quinolone__QnrS15	vceC	0.713392298	4.59E-09
quinolone__QnrS5	vceC	0.713392298	4.59E-09
quinolone__QnrS6	vceC	0.713392298	4.59E-09
quinolone__QnrS8	vceC	0.713392298	4.59E-09
quinolone__QnrS9	vceC	0.713392298	4.59E-09
quinolone__QnrVC3	vceC	0.713392298	4.59E-09
trimethoprim__DfrA39	vceC	0.713392298	4.59E-09
trimethoprim__dfrA10	vceC	0.713392298	4.59E-09
trimethoprim__dfrA13	vceC	0.713392298	4.59E-09
trimethoprim__dfrA20	vceC	0.713392298	4.59E-09
trimethoprim__dfrA21	vceC	0.713392298	4.59E-09
trimethoprim__dfrA23	vceC	0.713392298	4.59E-09
trimethoprim__dfrA32	vceC	0.713392298	4.59E-09
trimethoprim__dfrA9	vceC	0.713392298	4.59E-09
trimethoprim__dfrB1	vceC	0.713392298	4.59E-09
trimethoprim__dfrF	vceC	0.713392298	4.59E-09
vancomycin__vanHD	vceC	0.713392298	4.59E-09
vancomycin__vanHM	vceC	0.713392298	4.59E-09
vancomycin__vanL	vceC	0.713392298	4.59E-09
vancomycin__vanUG	vceC	0.713392298	4.59E-09
vancomycin__vanYG1	vceC	0.713392298	4.59E-09
vancomycin__vanZA	vceC	0.713392298	4.59E-09
aminoglycoside__aacA43	vceR	0.713392298	4.59E-09
aminoglycoside__aadA11	vceR	0.713392298	4.59E-09
aminoglycoside__aadA2	vceR	0.713392298	4.59E-09
aminoglycoside__aadA25	vceR	0.713392298	4.59E-09
aminoglycoside__aadA3	vceR	0.713392298	4.59E-09
aminoglycoside__aadA8	vceR	0.713392298	4.59E-09
aminoglycoside__aphA15	vceR	0.713392298	4.59E-09
beta_lactam__CfxA2	vceR	0.713392298	4.59E-09
beta_lactam__CfxA3	vceR	0.713392298	4.59E-09
beta_lactam__CfxA5	vceR	0.713392298	4.59E-09
beta_lactam__CfxA6	vceR	0.713392298	4.59E-09
beta_lactam__cepA	vceR	0.713392298	4.59E-09
beta_lactam__cphA5	vceR	0.713392298	4.59E-09
beta_lactam__cphA8	vceR	0.713392298	4.59E-09
beta_lactam__imiH	vceR	0.713392298	4.59E-09
beta_lactam__mreA	vceR	0.713392298	4.59E-09
chloramphenicol__catS	vceR	0.713392298	4.59E-09
chloramphenicol__cmlA1	vceR	0.713392298	4.59E-09
chloramphenicol__cmlA6	vceR	0.713392298	4.59E-09
chloramphenicol__cmlB	vceR	0.713392298	4.59E-09
chloramphenicol__pexA	vceR	0.713392298	4.59E-09
fosfomycin__FosA2	vceR	0.713392298	4.59E-09
multidrug__hmrM	vceR	0.713392298	4.59E-09
multidrug__hp1181	vceR	0.713392298	4.59E-09
multidrug__mefJ	vceR	0.713392298	4.59E-09
quinolone__QnrB12	vceR	0.713392298	4.59E-09
quinolone__QnrB3	vceR	0.713392298	4.59E-09
quinolone__QnrB54	vceR	0.713392298	4.59E-09
quinolone__QnrB56	vceR	0.713392298	4.59E-09
quinolone__QnrB59	vceR	0.713392298	4.59E-09
quinolone__QnrB74	vceR	0.713392298	4.59E-09
quinolone__QnrS11	vceR	0.713392298	4.59E-09
quinolone__QnrS15	vceR	0.713392298	4.59E-09
quinolone__QnrS5	vceR	0.713392298	4.59E-09
quinolone__QnrS6	vceR	0.713392298	4.59E-09
quinolone__QnrS8	vceR	0.713392298	4.59E-09
quinolone__QnrS9	vceR	0.713392298	4.59E-09
quinolone__QnrVC3	vceR	0.713392298	4.59E-09
trimethoprim__DfrA39	vceR	0.713392298	4.59E-09
